SPEAKER         id       #SENT      #WORD       Corr        Sub        Ins        Del        Err      S.Err
F434292047      raw        101        852        794         31         15         27         73         27
F434292047      sys        101        852      93.19       3.64       1.76       3.17       8.57      26.73
F435240778      raw         46        349        342          0          5          7         12          7
F435240778      sys         46        349      97.99       0.00       1.43       2.01       3.44      15.22
F435806936      raw         60        514        501          2          4         11         17         11
F435806936      sys         60        514      97.47       0.39       0.78       2.14       3.31      18.33
F436725159      raw         56        496        473          0          8         23         31          4
F436725159      sys         56        496      95.36       0.00       1.61       4.64       6.25       7.14
F439898896      raw          6        118        108          4          0          6         10          3
F439898896      sys          6        118      91.53       3.39       0.00       5.08       8.47      50.00
F442868307      raw         34        333        228         13          4         92        109         23
F442868307      sys         34        333      68.47       3.90       1.20      27.63      32.73      67.65
F443231157      raw         52        536        430         23         17         83        123         25
F443231157      sys         52        536      80.22       4.29       3.17      15.49      22.95      48.08
F443567961      raw         18         95         79          3          8         13         24          8
F443567961      sys         18         95      83.16       3.16       8.42      13.68      25.26      44.44
F447588597      raw         12        141        124          2          1         15         18          7
F447588597      sys         12        141      87.94       1.42       0.71      10.64      12.77      58.33
F447646519      raw         24        210        201          3          7          6         16          9
F447646519      sys         24        210      95.71       1.43       3.33       2.86       7.62      37.50
F447751729      raw         15        111         97          7          0          7         14          5
F447751729      sys         15        111      87.39       6.31       0.00       6.31      12.61      33.33
F449836950      raw         21        112        111          0          4          1          5          4
F449836950      sys         21        112      99.11       0.00       3.57       0.89       4.46      19.05
F451048162      raw         14        141        134          2          8          5         15          5
F451048162      sys         14        141      95.04       1.42       5.67       3.55      10.64      35.71
F455838357      raw         14        188        176          5          4          7         16          4
F455838357      sys         14        188      93.62       2.66       2.13       3.72       8.51      28.57
F468881716      raw         13        284        276          0          1          8          9          4
F468881716      sys         13        284      97.18       0.00       0.35       2.82       3.17      30.77
F474653283      raw         13        177        164          5          4          8         17          7
F474653283      sys         13        177      92.66       2.82       2.26       4.52       9.60      53.85
F475988714      raw         13        116         92          5          2         19         26          8
F475988714      sys         13        116      79.31       4.31       1.72      16.38      22.41      61.54
F476723709      raw         10         93         88          0          0          5          5          1
F476723709      sys         10         93      94.62       0.00       0.00       5.38       5.38      10.00
F480748236      raw         26        382        257         15          6        110        131         18
F480748236      sys         26        382      67.28       3.93       1.57      28.80      34.29      69.23
F491607115      raw         20        356        311          8          1         37         46          8
F491607115      sys         20        356      87.36       2.25       0.28      10.39      12.92      40.00
F493474858      raw          3         65         65          0          0          0          0          0
F493474858      sys          3         65     100.00       0.00       0.00       0.00       0.00       0.00
F497425119      raw         11        129         96          6          1         27         34         10
F497425119      sys         11        129      74.42       4.65       0.78      20.93      26.36      90.91
F501177812      raw          9         97         85          4          0          8         12          2
F501177812      sys          9         97      87.63       4.12       0.00       8.25      12.37      22.22
F510321798      raw         36        336        303         14          5         19         38         14
F510321798      sys         36        336      90.18       4.17       1.49       5.65      11.31      38.89
F515268533      raw         14        260        181         10          0         69         79         10
F515268533      sys         14        260      69.62       3.85       0.00      26.54      30.38      71.43
F541243743      raw         26        226        214          8         14          4         26          9
F541243743      sys         26        226      94.69       3.54       6.19       1.77      11.50      34.62
F543756324      raw         36        256        232         12          2         12         26         11
F543756324      sys         36        256      90.62       4.69       0.78       4.69      10.16      30.56
F55185104       raw         30        521        460          8          4         53         65         15
F55185104       sys         30        521      88.29       1.54       0.77      10.17      12.48      50.00
F561431582      raw         24        283        251          0          2         32         34         10
F561431582      sys         24        283      88.69       0.00       0.71      11.31      12.01      41.67
F564349523      raw         28        489        381         15          6         93        114         16
F564349523      sys         28        489      77.91       3.07       1.23      19.02      23.31      57.14
F566280723      raw         18        259        252          0          1          7          8          7
F566280723      sys         18        259      97.30       0.00       0.39       2.70       3.09      38.89
F567870781      raw         31        575        506         42          8         27         77         19
F567870781      sys         31        575      88.00       7.30       1.39       4.70      13.39      61.29
F584198010      raw          4         69         61          1         18          7         26          3
F584198010      sys          4         69      88.41       1.45      26.09      10.14      37.68      75.00
F585403542      raw         33        426        350          2          0         74         76         13
F585403542      sys         33        426      82.16       0.47       0.00      17.37      17.84      39.39
F595239384      raw         42        279        237         10          2         32         44         16
F595239384      sys         42        279      84.95       3.58       0.72      11.47      15.77      38.10
F595779312      raw         29        465        384         26          5         55         86         18
F595779312      sys         29        465      82.58       5.59       1.08      11.83      18.49      62.07
F597718658      raw         22        197        179          5          7         13         25         10
F597718658      sys         22        197      90.86       2.54       3.55       6.60      12.69      45.45
F62278691       raw         32        242        222          2          1         18         21          6
F62278691       sys         32        242      91.74       0.83       0.41       7.44       8.68      18.75
F63033441       raw         29        263        243          1          7         19         27         16
F63033441       sys         29        263      92.40       0.38       2.66       7.22      10.27      55.17
F631946391      raw         14         81         74          4          5          3         12          5
F631946391      sys         14         81      91.36       4.94       6.17       3.70      14.81      35.71
F63295685       raw         27        462        353         14          3         95        112         13
F63295685       sys         27        462      76.41       3.03       0.65      20.56      24.24      48.15
F647568384      raw         20        279        253          4          1         22         27          8
F647568384      sys         20        279      90.68       1.43       0.36       7.89       9.68      40.00
F668434028      raw         18        196        153         16          1         27         44         12
F668434028      sys         18        196      78.06       8.16       0.51      13.78      22.45      66.67
F678795855      raw         31        284        282          0          7          2          9          3
F678795855      sys         31        284      99.30       0.00       2.46       0.70       3.17       9.68
F688611635      raw         16        185        177          3          2          5         10          5
F688611635      sys         16        185      95.68       1.62       1.08       2.70       5.41      31.25
F700047990      raw         26        338        313          1          4         24         29         13
F700047990      sys         26        338      92.60       0.30       1.18       7.10       8.58      50.00
F715584554      raw         53        503        493          7          4          3         14         10
F715584554      sys         53        503      98.01       1.39       0.80       0.60       2.78      18.87
F74261709       raw         29        250        237          1          9         12         22         10
F74261709       sys         29        250      94.80       0.40       3.60       4.80       8.80      34.48
F742970476      raw         54        786        732         17         26         37         80         31
F742970476      sys         54        786      93.13       2.16       3.31       4.71      10.18      57.41
F744101685      raw         73        793        671         18         23        104        145         43
F744101685      sys         73        793      84.62       2.27       2.90      13.11      18.28      58.90
F748887319      raw          2          8          8          0          4          0          4          1
F748887319      sys          2          8     100.00       0.00      50.00       0.00      50.00      50.00
F759479865      raw         24        263        212          2          8         49         59         12
F759479865      sys         24        263      80.61       0.76       3.04      18.63      22.43      50.00
F769324817      raw         25        429        365         20         16         44         80         17
F769324817      sys         25        429      85.08       4.66       3.73      10.26      18.65      68.00
F784665417      raw         44        542        336         32          0        174        206         29
F784665417      sys         44        542      61.99       5.90       0.00      32.10      38.01      65.91
F796589454      raw          6        152        149          2          4          1          7          3
F796589454      sys          6        152      98.03       1.32       2.63       0.66       4.61      50.00
F810328190      raw         11        258        245          8         10          5         23          7
F810328190      sys         11        258      94.96       3.10       3.88       1.94       8.91      63.64
F822907315      raw         63        448        391          4          6         53         63         19
F822907315      sys         63        448      87.28       0.89       1.34      11.83      14.06      30.16
F833021197      raw         19        282        268          4          3         10         17          5
F833021197      sys         19        282      95.04       1.42       1.06       3.55       6.03      26.32
F847253054      raw         22        131        130          0          0          1          1          1
F847253054      sys         22        131      99.24       0.00       0.00       0.76       0.76       4.55
F860537375      raw         10        217        200          2          2         15         19          6
F860537375      sys         10        217      92.17       0.92       0.92       6.91       8.76      60.00
F871380095      raw         26        238        233          5         21          0         26          7
F871380095      sys         26        238      97.90       2.10       8.82       0.00      10.92      26.92
F877651377      raw         36        353        346          4          9          3         16         12
F877651377      sys         36        353      98.02       1.13       2.55       0.85       4.53      33.33
F884965338      raw         15        371        198         89          5         84        178         13
F884965338      sys         15        371      53.37      23.99       1.35      22.64      47.98      86.67
F890411244      raw         57        607        547         16          7         44         67         28
F890411244      sys         57        607      90.12       2.64       1.15       7.25      11.04      49.12
F920049556      raw         52        535        408         26         19        101        146         30
F920049556      sys         52        535      76.26       4.86       3.55      18.88      27.29      57.69
F92656507       raw          4         18         17          1          1          0          2          2
F92656507       sys          4         18      94.44       5.56       5.56       0.00      11.11      50.00
M1000419465     raw         30        173        170          1          1          2          4          4
M1000419465     sys         30        173      98.27       0.58       0.58       1.16       2.31      13.33
M1002045214     raw         21        316        265         12          6         39         57         10
M1002045214     sys         21        316      83.86       3.80       1.90      12.34      18.04      47.62
M1030025839     raw          6        319        260          3          1         56         60          1
M1030025839     sys          6        319      81.50       0.94       0.31      17.55      18.81      16.67
M107976794      raw         11        287        181         36          5         70        111         10
M107976794      sys         11        287      63.07      12.54       1.74      24.39      38.68      90.91
M111291956      raw         40        340        335          1          2          4          7          5
M111291956      sys         40        340      98.53       0.29       0.59       1.18       2.06      12.50
M112745086      raw         63        347        339          4          7          4         15         13
M112745086      sys         63        347      97.69       1.15       2.02       1.15       4.32      20.63
M1128839096     raw         10        143        129          1          4         13         18          7
M1128839096     sys         10        143      90.21       0.70       2.80       9.09      12.59      70.00
M117155791      raw         28        443        398          7          4         38         49         17
M117155791      sys         28        443      89.84       1.58       0.90       8.58      11.06      60.71
M1188701401     raw          3         38         38          0          0          0          0          0
M1188701401     sys          3         38     100.00       0.00       0.00       0.00       0.00       0.00
M1189175759     raw         25        399        391          2          0          6          8          5
M1189175759     sys         25        399      97.99       0.50       0.00       1.50       2.01      20.00
M1201032696     raw         13        207        199          5          4          3         12          4
M1201032696     sys         13        207      96.14       2.42       1.93       1.45       5.80      30.77
M121405584      raw          4         25         12          6          1          7         14          4
M121405584      sys          4         25      48.00      24.00       4.00      28.00      56.00     100.00
M121639960      raw         14        116         95          2          1         19         22          6
M121639960      sys         14        116      81.90       1.72       0.86      16.38      18.97      42.86
M1217441331     raw         30        250        248          0          7          2          9          6
M1217441331     sys         30        250      99.20       0.00       2.80       0.80       3.60      20.00
M1222356471     raw         23        244        242          1          4          1          6          3
M1222356471     sys         23        244      99.18       0.41       1.64       0.41       2.46      13.04
M124323107      raw          2         93         89          3          1          1          5          2
M124323107      sys          2         93      95.70       3.23       1.08       1.08       5.38     100.00
M1248525436     raw         22        320        313          4         10          3         17          6
M1248525436     sys         22        320      97.81       1.25       3.12       0.94       5.31      27.27
M12593891       raw          8         78         70          3          0          5          8          4
M12593891       sys          8         78      89.74       3.85       0.00       6.41      10.26      50.00
